zone_id,area_ha,mean_suit,mean_hec,sun_frac,priority,cen_lat,cen_lon,rank,taluk,intervention
122,11.0,0.342,0.003,0.0,0.2348,13.6715,76.0403,298,Kalasa,Bee Fence + Community Watch
440,5.0,0.334,0.0,0.0,0.2348,13.4287,76.1146,299,Kadur,Bee Fence + Community Watch
322,15.0,0.342,0.0,0.0,0.2347,13.5266,76.2833,300,Kadur,Bee Fence + Community Watch
41,19.0,0.346,0.0,0.0,0.2347,13.7582,76.07,301,Kalasa,Bee Fence + Community Watch
451,15.0,0.343,0.0,0.0,0.2346,13.4097,76.1336,302,Kadur,Bee Fence + Community Watch
190,8.0,0.337,0.0,0.0,0.2346,13.6176,76.1887,303,Koppa,Bee Fence + Community Watch
415,11.0,0.34,0.0009,0.0,0.2345,13.4692,76.0947,304,Kadur,Bee Fence + Community Watch
342,11.0,0.34,0.0,0.0,0.2344,13.5158,76.1266,305,Kadur,Bee Fence + Community Watch
106,11.0,0.342,0.0021,0.0,0.2343,13.6829,75.9561,306,Kalasa,Bee Fence + Community Watch
167,14.0,0.344,0.0003,0.0,0.2341,13.6309,76.084,307,Koppa,Bee Fence + Community Watch
567,11.0,0.341,0.0,0.0,0.2341,13.1337,75.6416,308,Mudigere,Bee Fence + Community Watch
553,9.0,0.339,0.0002,0.0,0.234,13.261,75.963,309,Kadur,Bee Fence + Community Watch
345,11.0,0.341,0.0,0.0,0.2339,13.5155,76.2987,310,Kadur,Bee Fence + Community Watch
216,5.0,0.346,0.01,0.0,0.2339,13.5984,75.7734,311,Koppa,Bee Fence + Community Watch
99,8.0,0.339,0.0,0.0,0.2338,13.6917,76.1484,312,Kalasa,Bee Fence + Community Watch
13,6.0,0.337,0.0,0.0,0.2338,13.8231,75.9784,313,Kalasa,Bee Fence + Community Watch
336,12.0,0.343,0.0,0.0,0.2336,13.5195,75.8873,314,Chikkamagaluru,Bee Fence + Community Watch
286,6.0,0.338,0.0,0.0,0.2336,13.5468,76.2923,315,Kadur,Bee Fence + Community Watch
54,5.0,0.337,0.0,0.0,0.2335,13.7493,76.108,316,Kalasa,Bee Fence + Community Watch
121,13.0,0.345,0.0011,0.0,0.2334,13.6726,75.9222,317,Kalasa,Bee Fence + Community Watch
